date,Daily Death Toll ,,,,,,,,,,
2020/1/10,3,,,,,,,,,,
2020/1/11,4,,,,,,,,,,
2020/1/12,1,,,,,,,,,,
2020/1/13,0,,,,,,,,,,
2020/1/14,0,,,,,,,,,,
2020/1/15,6,,,,,,,,,,
2020/1/16,6,,,,,,,,,,
2020/1/17,3,,,,,,,,,,
2020/1/18,4,,,,,,,,,,
2020/1/19,6,,,,,,,,,,
2020/1/20,1,,,,,,,,,,
2020/1/21,0,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
