date,Enewt
2019/12/27,54
2019/12/28,60
2019/12/29,76
2019/12/30,74
2019/12/31,76
2020/1/1,111
2020/1/2,132
2020/1/3,175
2020/1/4,192
2020/1/5,239
2020/1/6,276
2020/1/7,312
2020/1/8,387
2020/1/9,480
2020/1/10,607
2020/1/11,677
2020/1/12,783
2020/1/13,1080
2020/1/14,1257
2020/1/15,1543
2020/1/16,1956
2020/1/17,2321
2020/1/18,2500
2020/1/19,2501
2020/1/20,2489
2020/1/21,2377
2020/1/22,2064
2020/1/23,1947
2020/1/24,1895
2020/1/25,1766
2020/1/26,2709
2020/1/27,2393
2020/1/28,2023
2020/1/29,1849
2020/1/30,1658
2020/1/31,472
2020/2/1,863
2020/2/2,894
2020/2/3,958
2020/2/4,853
2020/2/5,907
2020/2/6,937
2020/2/7,915
2020/2/8,543
2020/2/9,520
2020/2/10,513
2020/2/11,384
2020/2/12,294
2020/2/13,264
2020/2/14,252
2020/2/15,62
2020/2/16,1
2020/2/17,110
2020/2/18,164
2020/2/19,119
2020/2/20,85
2020/2/21,90
2020/2/22,39
2020/2/23,1
2020/2/24,1
2020/2/25,1
2020/2/26,1
2020/2/27,3
2020/2/28,3
2020/2/29,6
2020/3/1,1
2020/3/2,1
2020/3/3,1
